캐릭터리스트																																	일반용병-0		
2004-05-21  10시																																	장수-1		
hq에 들어감			X=적용불가																		봉인의 구슬 개수 = 몬스터 고용 가능 레벨 / 10												몬스터-2		
김영나	전체숫자안쓰임	이름코드	X	X	국가별분류	힘	민첩	생명력	지력	기본방어력	기본레벨	무게	물리방어력	마법방어력	최소데미지	최고데미지	db에서만사용	db에서만사용	db에서만사용	고용가격	고용가능렙(봉인의돌 개수 정함)	장비무기	고용신등	주는아이템	확률	주는아이템	확률	주는아이템	확률	X	X	설명	구분	X	
U65	큰칼무사	100271	15	0	100	38	22	19	0	5	1	100	0	0	14	15	6	76	0	6300	9	sword	4	378	2000000	477	1000000	387	500000	0	0	4000230	0	1	0
U66	무도가	100272	15	0	100	35	20	18	0	4	1	100	0	0	9	12	6	72	0	5800	10	0	5	412	2000000	452	1000000	438	500000	0	0	4000231	0	1	0
U67	모험가	100273	15	0	100	26	25	15	5	6	1	100	0	0	12	20	4	60	20	6200	12	fan	6	380	2000000	496	1000000	402	500000	0	0	4000232	0	1	0
U68	수도승	100274	15	0	100	15	23	10	10	4	1	100	0	0	7	9	5	40	40	4600	11	buddist	4	374	2000000	469	1000000	441	500000	0	0	4000233	0	1	0
U69	화포수	100276	15	0	100	37	10	19	0	5	1	100	0	0	15	19	4	76	0	7200	13	firegun	6	376	2000000	473	1000000	414	500000	0	0	4000235	0	1	0
U70	왕거한	100279	50	0	1000	90	30	50	20	35	1	100	0	0	25	40	5	200	80	1450000	150	axe	50	323	2000000	511	1000000	0	500000	0	0	4000316	1	1	0
U71	유영복	100280	50	0	1000	60	40	80	10	20	1	100	0	0	20	25	5	320	40	1300000	150	stick	50	324	2000000	399	1000000	387	500000	0	0	4000317	1	1	0
U72	페르난데스	100281	50	0	1000	40	70	50	20	15	1	100	0	0	20	24	5	200	80	1050000	150	Bullet	45	337	2000000	514	1000000	0	500000	0	0	4000318	1	1	0
U73	임평후	100282	50	0	1000	30	40	40	80	8	1	100	0	20	11	15	5	160	320	1350000	150	beads	55	536	2000000	466	1000000	0	500000	0	0	4000319	1	1	0
U74	조세림	100283	50	0	1000	40	50	55	20	20	1	100	0	0	18	25	5	220	80	1300000	150	SpinStone	60	324	2000000	399	1000000	387	500000	0	0	4000320	1	1	0
U75	H큰칼무사	100284	15	0	100	38	22	19	0	5	1	100	0	0	14	15	6	76	0	6300	9	sword	4	378	2000000	477	1000000	387	500000	0	0	4000230	0	1	0
U76	H무도가	100285	15	0	100	35	20	18	0	4	1	100	0	0	9	12	6	72	0	5800	10	0	5	412	2000000	452	1000000	438	500000	0	0	4000231	0	1	0
U77	H모험가	100286	15	0	100	26	25	15	5	6	1	100	0	0	12	20	4	60	20	6200	12	fan	6	380	2000000	496	1000000	402	500000	0	0	4000232	0	1	0
U78	H수도승	100287	15	0	100	15	23	10	10	4	1	100	0	0	7	9	5	40	40	4600	11	buddist	4	374	2000000	469	1000000	441	500000	0	0	4000233	0	1	0
U79	H화포수	100288	15	0	100	37	10	19	0	5	1	100	0	0	15	19	4	76	0	7200	13	firegun	6	376	2000000	473	1000000	414	500000	0	0	4000235	0	1	0
U80	조승훈	100289	50	0	100	60	30	60	40	25	1	100	0	0	35	45	5	240	160	1250000	150	sword	55	541	2000000	456	1000000	0	0	0	0	4000236	1	1	0
U81	이령	100290	50	0	100	60	60	50	30	15	1	100	0	0	20	23	5	200	120	1050000	150	firegun	45	337	2000000	514	1000000	0	0	0	0	4000237	1	1	0
U82	동방불패	100291	50	0	100	80	80	50	40	30	1	100	20	0	50	70	5	200	160	1450000	150	0	55	517	2000000	463	1000000	0	0	0	0	4000238	1	1	0
U83	축융	100292	50	0	100	50	50	70	20	35	1	100	0	0	15	25	5	280	80	1450000	150	fan	50	517	2000000	463	1000000	0	0	0	0	4000239	1	1	0
U84	제갈공명	100293	50	0	100	25	35	40	100	8	1	100	0	20	14	20	5	160	400	1350000	150	buddist	55	536	2000000	466	1000000	0	0	0	0	4000240	1	1	0
C100	T조철희	110001	10	0	1	15	15	15	5	5	1	200	0	0	6	8	7	60	20	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0
M86	엄마광우	100473	450	0	0	250	150	350	50	120	1	100	30	10	100	130	7	1400	200	160000	100	0	95	761	100000	0	0	0	0	0	0	0	2	1	2
M87	요술사령	100474	500	0	0	250	250	400	400	150	1	100	50	80	110	135	6	1600	1600	170000	105	0	100	634	100000	0	0	0	0	0	0	0	2	1	2
M88	대장반달곰	100475	550	0	0	350	350	550	0	200	1	100	30	30	120	140	8	2200	0	200000	110	0	105	426	100000	0	0	0	0	0	0	0	2	4	2
M89	처녀귀신	100476	40	100	1	35	50	30	0	5	1	100	0	0	25	45	5	120	0	8000	40	0	40	185	4000000	33	4000000	0	0	0	0	0	2	1	1
M90	해골	100477	0	0	1000	150	190	250	50	120	1	100	50	50	90	120	6	1000	200	80000	60	0	80	205	1500000	378	1000000	383	100000	0	0	0	2	1	1
M91	해골병사	100478	0	0	1000	150	190	250	150	120	1	100	50	50	90	120	6	1000	600	90000	80	0	80	148	10000000	900	1	383	100000	0	0	0	2	1	1
M92	해적선장	100479	0	0	1000	500	700	750	150	400	1	100	90	95	140	180	5	3000	600	120000	100	0	100	903	100000	647	2000000	0	0	0	0	0	2	1	3
M93	흑백무상	100480	40	100	1	100	60	130	20	40	1	100	30	50	60	80	7	520	80	81000	81	0	81	367	2000000	675	2000000	0	0	0	0	4010257	2	1	1
M94	우산귀신	100481	40	100	1	35	50	30	0	5	1	100	0	0	25	45	5	120	0	8000	40	0	40	367	10000000	339	10000000	0	0	0	0	0	2	1	1
M95	적고적	100482	43	150	0	25	35	20	25	15	1	100	0	0	5	8	4	80	100	35000	35	0	35	180	17000000	0	0	0	0	0	0	0	2	3	1
M96	무녀	100483	450	0	0	250	200	200	200	120	1	100	30	80	100	130	7	800	800	160000	100	0	95	889	100000	0	0	0	0	0	0	0	2	1	1
M97	진성여왕	100484	500	0	0	250	250	350	300	150	1	100	50	80	110	135	6	1400	1200	170000	105	0	100	890	100000	0	0	0	0	0	0	0	2	1	2
M98	아우타	100485	1000	100	0	1000	1000	1100	500	400	1	100	95	95	220	280	5	4400	2000	300000	130	0	100	891	100000	0	0	0	0	0	0	0	2	1	3
U85	당나귀	100486	0	0	0	240	10	250	0	5	1	200	0	0	6	9	5	1000	0	0	30	0	1	0	0	0	0	0	0	0	0	4000291	2	1	0
U86	칼잡이	2086	0	0	1	30	21	20	0	5	1	100	0	0	10	15	7	80	0	9000	20	sword	6	0	0	0	0	0	0	0	0	1963	0	1	0
U87	권율	1956	0	0	1	80	40	40	30	25	1	100	0	0	25	35	5	160	120	1450000	150	sword	60	0	0	0	0	0	0	0	0	1964	1	1	0
U88	기마무사	1957	0	0	10	40	25	6	0	5	1	100	0	0	10	15	7	24	0	9000	20	dsword	6	0	0	0	0	0	0	0	0	1965	0	1	0
U89	고니시	1958	0	0	10	80	50	20	40	25	1	100	0	0	15	25	5	80	160	1450000	150	dsword	55	0	0	0	0	0	0	0	0	1966	1	1	0
U90	도술사	1961	0	0	100	10	15	15	31	5	1	100	0	20	5	7	6	60	124	9000	20	0	6	0	0	0	0	0	0	0	0	1969	0	1	0
U91	순비연	1962	0	0	100	40	30	30	90	9	1	100	0	30	10	14	6	120	360	1450000	150	0	50	0	0	0	0	0	0	0	0	1970	1	1	0
U92	야수전사	1959	0	0	1000	40	15	16	0	5	1	100	0	0	10	15	8	64	0	9000	20	spear	6	0	0	0	0	0	0	0	0	1967	0	1	0
U93	손유창	1960	0	0	1000	90	40	40	20	35	1	100	0	0	25	45	6	160	80	1450000	150	spear	60	0	0	0	0	0	0	0	0	1968	1	1	0
M99	비호	2036	0	0	0	1200	1200	1500	800	500	1	100	50	105	250	300	6	6000	3200	2000000	150	0	150	925	100000	411	100000	880	1000000	0	0	0	2	1	4
M100	졸개호랑이	2037	0	0	0	50	55	50	0	20	1	100	80	35	15	20	7	200	0	2000000	150	0	150	70	1000000	0	0	0	0	0	0	0	2	1	1
M101	문지기	2095	0	0	0	1300	1300	1000	800	550	1	100	80	80	150	180	6	4000	3200	3000000	150	spear	150	993	1000000	996	500000	997	10000000	0	0	2288	2	1	2
M102	주술사	2096	0	0	0	1000	1500	1000	1000	500	1	100	0	100	15	20	6	4000	4000	3000000	150	0	150	70	1000000	0	0	0	0	0	0	2289	2	1	1
M103	기마병마용	2097	0	0	0	1500	1500	1200	1000	600	1	100	100	70	170	200	6	4800	4000	3000000	150	sword	150	992	1000000	994	1000000	0	0	0	0	2290	2	1	2
M104	불사조	2098	0	0	0	1800	1800	1300	1000	700	1	100	100	55	190	220	7	5200	4000	3000000	150	0	150	991	5000000	995	5000000	0	0	0	0	2291	2	1	3
M105	진시황의혼	2099	0	0	0	2000	2000	1500	1200	750	1	100	95	95	200	250	6	6000	4800	3000000	150	0	150	999	2000	1011	400000	995	10000000	0	0	2292	2	1	3
M106	올빼미	2161	0	0	0	25	18	20	0	15	1	100	0	30	4	7	5	80	0	3000000	150	0	150	70	1000000	0	0	0	0	0	0	2293	2	1	1
M107	표범	2149	0	0	0	35	55	50	10	22	1	100	20	10	15	20	6	200	40	3000000	150	0	150	70	1000000	0	0	0	0	0	0	2294	2	1	1
M108	흉노기궁병	2150	0	0	0	90	40	40	20	35	1	100	0	0	25	45	6	160	80	3000000	150	Arrow	100	70	1000000	0	0	0	0	0	0	2295	2	1	1
M109	흉노기마병	2151	0	0	0	110	80	110	60	35	1	100	15	15	40	48	6	440	240	300000	108	spear	100	70	1000000	0	0	0	0	0	0	2296	2	1	1
M110	흉노전사	2152	0	0	0	70	40	30	20	35	1	100	0	0	25	45	6	120	80	3000000	150	0	100	70	1000000	0	0	0	0	0	0	2297	2	1	1
U94	의술사	2153	0	0	1	20	15	10	15	4	1	100	0	0	6	9	7	40	60	6300	13	0	4	0	0	0	0	0	0	0	0	2112	0	1	0
U95	허준	2154	0	0	1	25	30	45	90	8	1	100	0	0	14	16	5	180	360	1350000	150	0	50	0	0	0	0	0	0	0	0	2113	1	1	0
U96	음양사	2155	0	0	10	25	15	10	10	4	1	100	0	0	5	8	7	40	40	6300	13	0	4	0	0	0	0	0	0	0	0	2114	0	1	0
U97	세이메이	2156	0	0	10	30	30	50	80	8	1	100	0	0	12	18	5	200	320	1350000	150	0	45	0	0	0	0	0	0	0	0	2115	1	1	0
U98	염력사	2157	0	0	1000	25	20	10	5	4	1	100	0	0	5	8	8	40	20	6300	13	bead	4	0	0	0	0	0	0	0	0	2116	0	1	0
U99	장선화	2158	0	0	1000	40	50	10	90	8	1	100	0	0	10	14	6	40	360	1350000	150	0	55	0	0	0	0	0	0	0	0	2117	1	1	0
U100	장창무사	2159	0	0	100	30	30	10	0	5	1	100	0	0	8	13	6	40	0	9000	13	spear	6	0	0	0	0	0	0	0	0	2118	0	1	0
U101	곽후	2160	0	0	100	55	35	80	20	15	1	100	30	0	20	35	6	320	80	1600000	150	spear	65	0	0	0	0	0	0	0	0	2119	1	1	0
M111	눈사람1	100487	0	0	0	30	40	30	0	30	1	100	0	35	110	135	6	120	0	0	150	0	150	880	10	881	20	0	0	0	0	0	2	1	1
M112	눈사람2	100487	0	0	0	30	40	30	0	30	1	100	0	35	110	135	6	120	0	0	150	0	150	977	1000	0	0	0	0	0	0	0	2	1	1
M113	가짜산타1	100488	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	975	10	0	0	0	0	0	0	0	2	1	1
M114	가짜산타2	100488	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	976	1000	0	0	0	0	0	0	0	2	1	1
M115	가짜산타3	100488	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	980	1000	0	0	0	0	0	0	0	2	1	1
M116	엄마루돌1	100489	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	975	10	0	0	0	0	0	0	0	2	1	1
M117	엄마루돌2	100489	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	978	1000	0	0	0	0	0	0	0	2	1	1
M118	엄마루돌3	100489	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	979	1000	0	0	0	0	0	0	0	2	1	1
M119	엄마루돌4	100489	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	840	1	0	0	0	0	0	0	0	2	1	1
M120	가짜산타4	100488	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	840	1	0	0	0	0	0	0	0	2	1	1
M121	가짜산타	100488	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	981	20	0	0	0	0	0	0	0	2	1	1
M122	엄마루돌이	100489	0	0	0	30	40	30	0	30	1	100	50	105	250	300	6	120	0	0	150	0	150	981	20	0	0	0	0	0	0	0	2	1	1
M123	익룡	100490	0	0	0	50	50	80	25	15	1	100	10	0	8	15	6	320	100	0	150	0	150	985	100000000	0	0	0	0	0	0	0	2	1	1
M124	렙터	100491	0	0	0	250	200	200	200	120	1	100	30	80	100	130	7	800	800	0	150	0	150	985	100000000	0	0	0	0	0	0	0	2	1	1
M125	티라노	100492	0	0	0	400	800	800	150	400	1	100	95	95	160	250	6	3200	600	0	150	0	150	985	100000000	0	0	0	0	0	0	0	2	1	2
M126	원숭이	100493	0	0	0	10	12	3	0	4	1	200	0	0	1	2	5	12	0	0	150	0	150	0	0	0	0	0	0	0	0	0	2	1	1
M127	염라대왕	8000632	0	0	0	2000	2000	2000	2000	800	1	100	120	200	300	350	6	8000	8000	0	150	fan	150	998	1000000	0	0	0	0	0	0	0	2	1	4
M128	저승사자	8000633	0	0	0	1500	1500	1000	75	500	1	100	120	200	200	250	7	4000	300	0	150	beads	150	1001	500000	0	0	0	0	0	0	0	2	1	4
M129	유령사무라	8000634	0	0	0	1000	1000	800	75	500	1	100	120	200	120	160	5	3200	300	0	150	sword	150	1002	1000000	0	0	0	0	0	0	0	2	1	4
M130	이무기	8000635	0	0	0	1500	1500	1000	1200	800	1	100	120	200	260	280	5	4000	4800	0	150	0	150	1000	100000	998	100000	0	0	0	0	0	2	1	4
M131	유령코끼리	8000636	0	0	0	550	500	1000	100	200	1	100	95	110	110	140	5	4000	400	0	150	0	150	1004	1000000	0	0	0	0	0	0	0	2	1	4
M132	유령해저왕	8000637	0	0	0	400	800	800	150	400	1	100	95	110	160	250	5	3200	600	0	150	0	150	1005	500000	1006	500000	0	0	0	0	0	2	1	4
M133	유령해적선	8000638	0	0	0	500	700	750	150	400	1	100	90	110	140	180	5	3000	600	0	150	Bullet	150	1003	1000000	1010	1000000	0	0	0	0	0	2	1	4
M134	유령해골	8000639	0	0	0	500	300	300	0	500	1	100	100	120	120	150	5	1200	0	0	150	0	150	1008	10000000	0	0	0	0	0	0	0	2	1	4
M135	유령해골병	8000640	0	0	0	700	500	500	0	700	1	100	120	120	150	180	5	2000	0	0	150	0	150	1009	10000000	0	0	0	0	0	0	0	2	1	4
M136	유령무녀	8000641	0	0	0	600	500	500	0	600	1	100	120	120	180	220	5	2000	0	0	150	0	150	1005	1000000	0	0	0	0	0	0	0	2	1	4
M137	유령불꽃	8000642	0	0	0	700	400	500	600	800	1	100	120	120	180	220	5	2000	2400	0	150	0	150	1007	500000	0	0	0	0	0	0	0	2	1	4
M138	쥐	8000643	0	0	0	100	50	75	0	10	1	100	10	10	10	12	8	300	0	0	150	0	150	0	0	0	0	0	0	0	0	0	2	1	1
M139	소1	8000644	0	0	0	100	100	500	0	100	1	100	100	100	150	180	6	2000	0	0	150	0	150	0	0	0	0	0	0	0	0	0	2	1	1
M140	소2	8000645	0	0	0	200	200	500	0	200	1	100	100	100	180	210	6	2000	0	0	150	0	150	0	0	0	0	0	0	0	0	0	2	1	1
M141	소3	8000646	0	0	0	300	300	500	0	300	1	100	100	100	210	300	6	2000	0	0	150	0	150	0	0	0	0	0	0	0	0	0	2	1	1
M142	병아리	8000647	0	0	0	25	25	50	0	9	1	100	30	30	30	40	5	200	0	0	150	0	150	0	0	0	0	0	0	0	0	0	2	1	1
M143	돼지	8000648	0	0	0	30	30	500	30	30	1	100	30	30	30	30	5	2000	120	0	150	0	150	0	0	0	0	0	0	0	0	0	2	1	1
M144	뱀	8000673	0	0	0	50	50	500	0	5	1	100	50	50	10	20	5	2000	0	0	5	0	0	666	4000000	667	5000000	476	500000	0	0	0	2	1	1
M145	원숭이	8000674	0	0	0	50	50	400	250	100	1	200	50	50	10	20	5	1600	1000	0	150	0	150	0	0	0	0	0	0	0	0	0	2	1	1
M146	침략왜구	8000689	0	0	0	16	10	4	0	4	1	100	0	0	3	4	4	16	0	11000	11	sword	11	881	1000000	350	8000000	0	0	0	0	4010242	2	2	1
U102	K거북차	100600	50	0	1	115	57	315	86	45	1	100	9	100	39	48	3	1261	0	3080000	150	Arrow	72	325	2000000	628	1000000	408	500000	0	0	4001009	3	1	0
U103	K뇌전차	100601	50	0	1	77	26	256	154	30	1	100	4	100	68	81	4	1024	0	2200000	150	0	54	0	0	0	0	0	0	0	0	4001010	3	1	0
U104	J지진차	100602	50	0	10	116	87	319	58	40	1	100	8	100	45	51	4	1276	0	2310000	150	Bullet	54	326	2000000	631	1000000	409	500000	0	0	4001011	3	1	0
U105	J흑룡차	100603	50	0	10	50	50	251	151	25	1	100	3	100	72	86	5	1004	0	2970000	150	0	72	324	2000000	399	1000000	387	500000	0	0	4001012	3	1	0
U106	C발석거	100605	50	0	100	129	51	231	103	55	1	100	10	100	72	88	2	925	0	3190000	150	0	72	93	2000000	565	1000000	380	500000	0	0	4001013	3	1	0
U107	C불랑기포	100604	50	0	100	172	57	287	57	40	1	100	5	100	25	35	3	1148	0	2310000	150	firegun	60	0	0	0	0	0	0	0	0	4001014	3	1	0
U108	T화룡차	100606	50	0	1000	113	57	330	57	50	1	100	9	100	48	64	3	1358	0	3190000	150	spear	72	94	2000000	568	1000000	378	500000	0	0	4001015	3	1	0
U109	T봉황비조	100607	50	0	1000	78	52	233	155	20	1	100	2	100	60	74	8	931	0	2970000	150	0	66	323	2000000	511	1000000	0	0	0	0	4001016	3	1	0
